task_id,category,title,credits,days_to_deadline,complexity,max_bidders,num_bids_received
TASK_0052,UI/UX,UI/UX Task #52,183,19,1,5,4
TASK_0053,Video,Video Task #53,1056,28,6,8,4
TASK_0054,Data Analysis,Data Analysis Task #54,136,15,1,3,4
TASK_0055,Marketing,Marketing Task #55,1014,21,6,8,3
TASK_0056,Development,Development Task #56,1012,27,6,5,1
TASK_0057,Writing,Writing Task #57,131,3,1,5,4
TASK_0058,UI/UX,UI/UX Task #58,240,14,2,3,3
TASK_0059,DevOps,DevOps Task #59,1327,6,7,5,3
TASK_0060,Marketing,Marketing Task #60,983,18,5,5,4
TASK_0061,Video,Video Task #61,178,21,1,10,4
TASK_0062,UI/UX,UI/UX Task #62,82,18,1,5,7
TASK_0063,Marketing,Marketing Task #63,142,14,1,3,1
TASK_0064,Design,Design Task #64,115,19,1,10,4
TASK_0065,Marketing,Marketing Task #65,183,26,1,5,6
TASK_0066,Design,Design Task #66,167,30,1,8,4
TASK_0067,Design,Design Task #67,171,23,1,10,5
TASK_0068,Design,Design Task #68,351,29,2,10,5
TASK_0069,Marketing,Marketing Task #69,145,6,1,3,6
TASK_0070,UI/UX,UI/UX Task #70,116,25,1,3,5
TASK_0071,Writing,Writing Task #71,723,10,4,10,4
TASK_0072,UI/UX,UI/UX Task #72,146,22,1,8,4
TASK_0073,UI/UX,UI/UX Task #73,430,4,3,8,6
TASK_0074,Development,Development Task #74,1454,30,8,3,1
TASK_0075,DevOps,DevOps Task #75,168,13,1,3,5
TASK_0076,Design,Design Task #76,1661,11,9,10,4
TASK_0077,Development,Development Task #77,64,4,1,10,8
TASK_0078,Video,Video Task #78,389,22,2,8,2
TASK_0079,Marketing,Marketing Task #79,170,30,1,8,4
TASK_0080,UI/UX,UI/UX Task #80,197,18,1,10,4
TASK_0081,Writing,Writing Task #81,61,17,1,10,3
TASK_0082,Marketing,Marketing Task #82,234,25,2,3,3
TASK_0083,Development,Development Task #83,91,7,1,8,6
TASK_0084,Design,Design Task #84,1822,4,10,10,7
TASK_0085,Marketing,Marketing Task #85,59,7,1,10,4
TASK_0086,UI/UX,UI/UX Task #86,197,23,1,5,0
TASK_0087,DevOps,DevOps Task #87,439,17,3,8,4
TASK_0088,Design,Design Task #88,478,15,3,3,4
TASK_0089,UI/UX,UI/UX Task #89,69,4,1,10,1
TASK_0090,UI/UX,UI/UX Task #90,145,29,1,10,5
TASK_0091,Data Analysis,Data Analysis Task #91,172,26,1,8,3
TASK_0092,Design,Design Task #92,56,6,1,10,6
TASK_0093,Design,Design Task #93,496,29,3,8,3
TASK_0094,UI/UX,UI/UX Task #94,195,18,1,5,2
TASK_0095,Writing,Writing Task #95,104,4,1,8,5
TASK_0096,Development,Development Task #96,255,25,2,10,6
TASK_0097,Development,Development Task #97,311,7,2,8,4
TASK_0098,Development,Development Task #98,1393,21,7,5,5
TASK_0099,Design,Design Task #99,1384,18,7,5,7
TASK_0100,Video,Video Task #100,371,25,2,5,4
TASK_0101,Video,Video Task #101,126,6,1,3,3
TASK_0102,DevOps,DevOps Task #102,182,24,1,5,5
TASK_0103,Data Analysis,Data Analysis Task #103,69,25,1,10,4
TASK_0104,Development,Development Task #104,188,7,1,3,6
TASK_0105,Development,Development Task #105,191,22,1,5,3
TASK_0106,Marketing,Marketing Task #106,57,10,1,8,3
TASK_0107,Writing,Writing Task #107,1003,21,6,5,5
TASK_0108,Marketing,Marketing Task #108,145,7,1,10,5
TASK_0109,Writing,Writing Task #109,195,28,1,5,2
TASK_0110,Data Analysis,Data Analysis Task #110,875,30,5,3,5
TASK_0111,Design,Design Task #111,1156,19,6,3,4
TASK_0112,Development,Development Task #112,285,27,2,10,3
TASK_0113,Development,Development Task #113,1498,26,8,3,5
TASK_0114,Writing,Writing Task #114,122,24,1,3,2
TASK_0115,Marketing,Marketing Task #115,295,15,2,10,6
TASK_0116,Data Analysis,Data Analysis Task #116,91,4,1,10,4
TASK_0117,Data Analysis,Data Analysis Task #117,965,15,5,10,3
TASK_0118,Development,Development Task #118,1684,22,9,8,8
TASK_0119,Design,Design Task #119,199,22,1,5,4
TASK_0120,Writing,Writing Task #120,327,8,2,3,1
TASK_0121,UI/UX,UI/UX Task #121,61,5,1,5,3
TASK_0122,DevOps,DevOps Task #122,97,17,1,8,6
TASK_0123,Development,Development Task #123,93,21,1,5,6
TASK_0124,Writing,Writing Task #124,107,30,1,8,3
TASK_0125,Video,Video Task #125,67,5,1,5,2
TASK_0126,Writing,Writing Task #126,77,16,1,10,2
TASK_0127,Design,Design Task #127,155,24,1,3,3
TASK_0128,Design,Design Task #128,403,27,3,3,7
TASK_0129,Marketing,Marketing Task #129,1845,26,10,8,8
TASK_0130,DevOps,DevOps Task #130,1786,8,9,5,4
TASK_0131,Marketing,Marketing Task #131,1466,8,8,10,1
TASK_0132,Writing,Writing Task #132,310,3,2,10,9
TASK_0133,Video,Video Task #133,1080,23,6,10,7
TASK_0134,Marketing,Marketing Task #134,78,24,1,5,2
TASK_0135,Development,Development Task #135,118,25,1,8,4
TASK_0136,Design,Design Task #136,220,3,2,8,6
TASK_0137,UI/UX,UI/UX Task #137,167,7,1,8,7
TASK_0138,Marketing,Marketing Task #138,150,28,1,10,3
TASK_0139,Marketing,Marketing Task #139,76,8,1,3,3
TASK_0140,Data Analysis,Data Analysis Task #140,1816,5,10,10,3
TASK_0141,Data Analysis,Data Analysis Task #141,187,24,1,10,4
TASK_0142,DevOps,DevOps Task #142,1197,24,6,5,4
TASK_0143,Video,Video Task #143,294,14,2,10,4
TASK_0144,Data Analysis,Data Analysis Task #144,123,19,1,8,7
TASK_0145,Data Analysis,Data Analysis Task #145,79,3,1,8,4
TASK_0146,DevOps,DevOps Task #146,64,9,1,8,6
TASK_0147,Video,Video Task #147,137,22,1,10,4
TASK_0148,Development,Development Task #148,122,27,1,3,6
TASK_0149,Marketing,Marketing Task #149,129,6,1,10,4
TASK_0150,DevOps,DevOps Task #150,58,4,1,10,1
TASK_0151,Marketing,Marketing Task #151,104,30,1,5,5
TASK_0152,Development,Development Task #152,1544,7,8,8,1
TASK_0153,Video,Video Task #153,319,11,2,10,6
TASK_0154,Data Analysis,Data Analysis Task #154,186,12,1,10,4
TASK_0155,DevOps,DevOps Task #155,87,8,1,8,6
TASK_0156,Data Analysis,Data Analysis Task #156,133,17,1,8,5
TASK_0157,Marketing,Marketing Task #157,135,26,1,8,4
TASK_0158,DevOps,DevOps Task #158,959,27,5,3,4
TASK_0159,Data Analysis,Data Analysis Task #159,126,10,1,8,2
TASK_0160,Design,Design Task #160,157,14,1,3,6
TASK_0161,Marketing,Marketing Task #161,153,18,1,10,2
TASK_0162,Video,Video Task #162,136,5,1,5,5
TASK_0163,UI/UX,UI/UX Task #163,672,8,4,5,1
TASK_0164,Writing,Writing Task #164,330,19,2,5,2
TASK_0165,Video,Video Task #165,175,27,1,8,2
TASK_0166,Marketing,Marketing Task #166,278,22,2,10,6
TASK_0167,Marketing,Marketing Task #167,53,6,1,3,6
TASK_0168,Design,Design Task #168,71,18,1,8,3
TASK_0169,UI/UX,UI/UX Task #169,680,5,4,10,1
TASK_0170,UI/UX,UI/UX Task #170,90,27,1,5,9
TASK_0171,Marketing,Marketing Task #171,1055,20,6,10,3
TASK_0172,DevOps,DevOps Task #172,186,9,1,3,7
TASK_0173,Design,Design Task #173,731,7,4,10,6
TASK_0174,Development,Development Task #174,266,24,2,5,2
TASK_0175,UI/UX,UI/UX Task #175,88,29,1,10,3
TASK_0176,Marketing,Marketing Task #176,351,11,2,5,2
TASK_0177,Writing,Writing Task #177,1938,30,10,10,6
TASK_0178,Video,Video Task #178,533,4,3,5,3
TASK_0179,DevOps,DevOps Task #179,1869,30,10,5,2
TASK_0180,Writing,Writing Task #180,630,20,4,3,7
TASK_0181,Data Analysis,Data Analysis Task #181,1525,11,8,3,1
TASK_0182,Data Analysis,Data Analysis Task #182,1462,15,8,10,6
TASK_0183,Marketing,Marketing Task #183,100,9,1,3,3
TASK_0184,Development,Development Task #184,479,3,3,10,6
TASK_0185,Video,Video Task #185,148,4,1,8,2
TASK_0186,Development,Development Task #186,195,17,1,5,5
TASK_0187,Marketing,Marketing Task #187,118,3,1,5,5
TASK_0188,Writing,Writing Task #188,333,9,2,10,1
TASK_0189,DevOps,DevOps Task #189,175,4,1,10,5
TASK_0190,UI/UX,UI/UX Task #190,66,8,1,5,3
TASK_0191,Marketing,Marketing Task #191,514,6,3,3,3
TASK_0192,Design,Design Task #192,1768,15,9,8,4
TASK_0193,DevOps,DevOps Task #193,190,21,1,3,5
TASK_0194,Video,Video Task #194,93,16,1,5,5
TASK_0195,DevOps,DevOps Task #195,1700,5,9,10,5
TASK_0196,DevOps,DevOps Task #196,119,3,1,3,4
TASK_0197,Marketing,Marketing Task #197,174,19,1,10,6
TASK_0198,Data Analysis,Data Analysis Task #198,62,22,1,5,3
TASK_0199,Design,Design Task #199,90,21,1,5,7
TASK_0200,DevOps,DevOps Task #200,1079,26,6,8,4
TASK_0201,Writing,Writing Task #201,1041,11,6,8,7
TASK_0202,DevOps,DevOps Task #202,95,19,1,5,4
TASK_0203,Design,Design Task #203,140,9,1,10,6
TASK_0204,DevOps,DevOps Task #204,165,11,1,10,2
TASK_0205,UI/UX,UI/UX Task #205,80,8,1,8,7
TASK_0206,Data Analysis,Data Analysis Task #206,112,28,1,8,6
TASK_0207,Marketing,Marketing Task #207,139,22,1,3,3
TASK_0208,Video,Video Task #208,578,21,3,3,2
TASK_0209,DevOps,DevOps Task #209,177,25,1,5,3
TASK_0210,Development,Development Task #210,169,18,1,5,2
TASK_0211,Design,Design Task #211,1097,19,6,3,3
TASK_0212,Development,Development Task #212,1744,13,9,5,3
TASK_0213,Design,Design Task #213,203,3,2,5,2
TASK_0214,Design,Design Task #214,244,20,2,10,5
TASK_0215,UI/UX,UI/UX Task #215,1945,5,10,8,3
TASK_0216,Marketing,Marketing Task #216,196,10,1,5,6
TASK_0217,Data Analysis,Data Analysis Task #217,429,10,3,3,6
TASK_0218,Development,Development Task #218,357,4,2,3,3
TASK_0219,Data Analysis,Data Analysis Task #219,197,7,1,8,5
TASK_0220,Design,Design Task #220,1735,6,9,10,6
TASK_0221,DevOps,DevOps Task #221,176,11,1,5,6
TASK_0222,Marketing,Marketing Task #222,83,20,1,10,5
TASK_0223,Marketing,Marketing Task #223,113,23,1,5,2
TASK_0224,Data Analysis,Data Analysis Task #224,1684,14,9,3,6
TASK_0225,Development,Development Task #225,527,6,3,10,5
TASK_0226,Design,Design Task #226,146,30,1,3,4
TASK_0227,DevOps,DevOps Task #227,448,23,3,8,9
TASK_0228,Video,Video Task #228,179,28,1,8,5
TASK_0229,DevOps,DevOps Task #229,309,3,2,3,8
TASK_0230,Video,Video Task #230,1259,9,7,3,4
TASK_0231,Writing,Writing Task #231,126,17,1,5,1
TASK_0232,Data Analysis,Data Analysis Task #232,1171,10,6,10,2
TASK_0233,UI/UX,UI/UX Task #233,175,5,1,8,6
TASK_0234,Data Analysis,Data Analysis Task #234,124,15,1,8,3
TASK_0235,Marketing,Marketing Task #235,352,30,2,10,3
TASK_0236,UI/UX,UI/UX Task #236,119,16,1,8,7
TASK_0237,UI/UX,UI/UX Task #237,112,11,1,3,2
TASK_0238,DevOps,DevOps Task #238,183,20,1,10,4
TASK_0239,UI/UX,UI/UX Task #239,359,4,2,5,9
TASK_0240,Marketing,Marketing Task #240,147,10,1,8,7
TASK_0241,Data Analysis,Data Analysis Task #241,171,6,1,8,3
TASK_0242,Data Analysis,Data Analysis Task #242,138,30,1,8,3
TASK_0243,Marketing,Marketing Task #243,160,23,1,5,1
TASK_0244,DevOps,DevOps Task #244,183,20,1,10,2
TASK_0245,Marketing,Marketing Task #245,1703,7,9,10,3
TASK_0246,UI/UX,UI/UX Task #246,194,30,1,5,3
TASK_0247,Design,Design Task #247,109,15,1,8,2
TASK_0248,Marketing,Marketing Task #248,134,16,1,5,5
TASK_0249,Marketing,Marketing Task #249,124,14,1,5,6
TASK_0250,Video,Video Task #250,179,30,1,5,2
TASK_0251,Video,Video Task #251,131,16,1,5,4
TASK_0252,Video,Video Task #252,87,14,1,8,6
TASK_0253,UI/UX,UI/UX Task #253,59,21,1,3,2
TASK_0254,Data Analysis,Data Analysis Task #254,130,21,1,8,6
TASK_0255,Marketing,Marketing Task #255,108,20,1,3,6
TASK_0256,Writing,Writing Task #256,172,12,1,10,5
TASK_0257,UI/UX,UI/UX Task #257,125,17,1,10,2
TASK_0258,Data Analysis,Data Analysis Task #258,931,17,5,10,4
TASK_0259,Data Analysis,Data Analysis Task #259,188,15,1,8,3
TASK_0260,Writing,Writing Task #260,51,14,1,10,5
TASK_0261,Writing,Writing Task #261,122,26,1,10,5
TASK_0262,Design,Design Task #262,158,6,1,5,3
TASK_0263,Writing,Writing Task #263,1019,23,6,5,7
TASK_0264,Development,Development Task #264,1165,4,6,8,3
TASK_0265,UI/UX,UI/UX Task #265,99,25,1,5,5
TASK_0266,Video,Video Task #266,111,17,1,5,5
TASK_0267,Design,Design Task #267,192,22,1,8,4
TASK_0268,UI/UX,UI/UX Task #268,136,24,1,3,2
TASK_0269,Development,Development Task #269,96,22,1,5,2
TASK_0270,Development,Development Task #270,185,29,1,8,3
TASK_0271,Design,Design Task #271,97,15,1,5,3
TASK_0272,Data Analysis,Data Analysis Task #272,175,16,1,5,3
TASK_0273,Marketing,Marketing Task #273,130,16,1,5,5
TASK_0274,DevOps,DevOps Task #274,816,7,5,3,4
TASK_0275,Marketing,Marketing Task #275,1739,30,9,10,5
TASK_0276,UI/UX,UI/UX Task #276,178,21,1,10,5
TASK_0277,DevOps,DevOps Task #277,155,8,1,8,3
TASK_0278,Design,Design Task #278,1024,19,6,10,3
TASK_0279,Marketing,Marketing Task #279,404,19,3,10,4
TASK_0280,Development,Development Task #280,195,20,1,5,3
TASK_0281,Writing,Writing Task #281,178,23,1,8,4
TASK_0282,Writing,Writing Task #282,64,30,1,3,5
TASK_0283,UI/UX,UI/UX Task #283,1321,17,7,10,3
TASK_0284,Design,Design Task #284,92,8,1,5,5
TASK_0285,Data Analysis,Data Analysis Task #285,685,30,4,10,3
TASK_0286,Marketing,Marketing Task #286,508,6,3,3,2
TASK_0287,Marketing,Marketing Task #287,173,29,1,5,2
TASK_0288,Marketing,Marketing Task #288,1226,30,7,3,7
TASK_0289,Writing,Writing Task #289,128,19,1,5,2
TASK_0290,Writing,Writing Task #290,557,10,3,3,4
TASK_0291,Data Analysis,Data Analysis Task #291,170,23,1,8,2
TASK_0292,UI/UX,UI/UX Task #292,1494,4,8,5,7
TASK_0293,Data Analysis,Data Analysis Task #293,107,29,1,10,1
TASK_0294,UI/UX,UI/UX Task #294,153,17,1,3,3
TASK_0295,Design,Design Task #295,500,13,3,5,3
TASK_0296,Data Analysis,Data Analysis Task #296,55,30,1,8,3
TASK_0297,Marketing,Marketing Task #297,921,11,5,5,0
TASK_0298,Design,Design Task #298,1281,28,7,3,6
TASK_0299,Data Analysis,Data Analysis Task #299,195,17,1,3,7
